MedicineID,Name,Description,Quantity
"101","Paracetamol","Paracetamol is a common pain reliever and a fever reducer. It is used to treat many conditions such as headache, muscle aches, arthritis, backache, toothaches, colds, and fevers.",100
"102","Ibuprofen","Ibuprofen is a nonsteroidal anti-inflammatory drug (NSAID). It works by reducing hormones that cause inflammation and pain in the body. It is used to reduce fever and treat pain or inflammation caused by many conditions such as headache, toothache, back pain, arthritis, menstrual cramps, or minor injury.",80
"103","Amoxicillin","Amoxicillin is a penicillin antibiotic that fights bacteria. It is used to treat many different types of infections caused by bacteria, such as tonsillitis, bronchitis, pneumonia, gonorrhea, and infections of the ear, nose, throat, skin, or urinary tract.",120
"104","Omeprazole","Omeprazole reduces the amount of acid your stomach makes. It's a widely-used treatment for indigestion and acid reflux. It helps relieve symptoms such as heartburn, stomach pain, and ongoing cough.",90
"105","Loratadine","Loratadine is an antihistamine that reduces the effects of natural chemical histamine in the body. It is used to treat sneezing, runny nose, watery eyes, hives, skin rash, itching, and other cold or allergy symptoms.",150
"106","Aspirin","Aspirin is used to reduce fever and relieve mild to moderate pain from conditions such as muscle aches, toothaches, common cold, and headaches. It may also be used to reduce pain and swelling in conditions such as arthritis.",110
"107","Cetirizine","Cetirizine is an antihistamine used to relieve allergy symptoms such as watery eyes, runny nose, itching eyes/nose, sneezing, hives, and itching.",130
"108","Prednisone","Prednisone is a corticosteroid. It prevents the release of substances in the body that cause inflammation. It is used to treat many different conditions such as allergic disorders, skin conditions, ulcerative colitis, arthritis, lupus, psoriasis, or breathing disorders.",70
"109","Diphenhydramine","Diphenhydramine is an antihistamine used to relieve symptoms of allergy, hay fever, and the common cold. These symptoms include rash, itching, watery eyes, itchy eyes/nose/throat, cough, runny nose, and sneezing.",140
"110","Cephalexin","Cephalexin is a cephalosporin (SEF a low spor in) antibiotic. It works by fighting bacteria in your body. It is used to treat infections caused by bacteria, including upper respiratory infections, ear infections, skin infections, urinary tract infections, and bone infections.",100
"111","Metformin","Metformin is an oral diabetes medicine that helps control blood sugar levels. It is used together with diet and exercise to improve blood sugar control in adults with type 2 diabetes mellitus.",120
"112","Atorvastatin","Atorvastatin is used together with diet, weight loss, and exercise to reduce the risk of heart attack and stroke and to decrease the chance that heart surgery will be needed in people who have heart disease or who are at risk of developing heart disease.",90
"113","Simvastatin","Simvastatin is used along with a proper diet to help lower 'bad' cholesterol and fats (such as LDL, triglycerides) and raise 'good' cholesterol (HDL) in the blood. It belongs to a group of drugs known as 'statins'.",160
"114","Losartan","Losartan is used to treat high blood pressure (hypertension) and to help protect the kidneys from damage due to diabetes. It is also used to lower the risk of strokes in patients with high blood pressure and an enlarged heart.",80
"115","Amlodipine","Amlodipine is a medication used to treat high blood pressure and coronary artery disease. While amlodipine can lower blood pressure in people with hypertension, it does not have an effect on those with normal blood pressures.",200
"116","Clopidogrel","Clopidogrel, sold under the trade name Plavix among others, is an antiplatelet medication used to reduce the risk of heart disease and stroke in those at high risk. It is also used together with aspirin in heart attacks and following the placement of a coronary artery stent.",150
"117","Metoprolol","Metoprolol, marketed under the tradename Lopressor among others, is a medication of the selective β1 receptor blocker type. It is used to treat high blood pressure, chest pain due to poor blood flow to the heart, and a number of conditions involving an abnormally fast heart rate.",180
"118","Atenolol","Atenolol is a medication primarily used to treat heart disease and high blood pressure. Other uses include the prevention of migraines and treatment of certain irregular heart beats. It works by relaxing blood vessels and slowing heart rate, improving blood flow and decreasing blood pressure.",170
"119","Ramipril","Ramipril is an angiotensin-converting enzyme (ACE) inhibitor. It works by relaxing blood vessels so blood can flow more easily. It is used to treat high blood pressure (hypertension). Lowering high blood pressure helps prevent strokes, heart attacks, and kidney problems.",190
"120","Warfarin","Warfarin is an anticoagulant medication that is used to prevent blood clots in people with a variety of conditions. It works by decreasing the clotting ability of the blood. This medication is used to treat blood clots such as deep vein thrombosis, pulmonary embolism, and to prevent stroke in people who have atrial fibrillation, valvular heart disease, or artificial heart valves.",220
"121","Digoxin","Digoxin, sold under the brand name Lanoxin, is a medication used to treat various heart conditions. Most frequently it is used for atrial fibrillation, atrial flutter, and heart failure. Digoxin is taken by mouth or by injection into a vein.",210
"122","Diltiazem","Diltiazem is a calcium channel blocker. It works by relaxing the muscles of your heart and blood vessels. Diltiazem is used to treat hypertension (high blood pressure), angina (chest pain), and certain heart rhythm disorders.",230
"123","Carvedilol","Carvedilol, sold under the brand name Coreg among others, is a medication used for treating mild to severe congestive heart failure (CHF), left ventricular dysfunction (LVD) following heart attack in people who are otherwise stable, and for treating high blood pressure.",240
"124","Valsartan","Valsartan is used to treat high blood pressure and heart failure. It is also used to improve the chance of living longer after a heart attack. In people with heart failure, it may also lower the chance of having to go to the hospital for heart failure.",250
"125","Levothyroxine","Levothyroxine, also known as L-thyroxine, is a manufactured form of the thyroid hormone thyroxine (T4). It is used to treat thyroid hormone deficiency including the severe form known as myxedema coma. It may also be used to treat and prevent certain types of thyroid tumors.",260
"126","Furosemide","Furosemide, sold under the brand name Lasix among others, is a medication used to treat fluid build-up due to heart failure, liver scarring, or kidney disease. It may also be used for the treatment of high blood pressure. It can be taken by injection into a vein or by mouth.",270
